Name,Author,Pub Year,ISBN-13,Publisher,Imprint Publisher,BookType,Primary Genre,Genres,Ficiton/non-fiction,Series,Volume,Unit Price,Page number,Language,Read by Stinky,Read by Matt,QTY,To/From,surname,Primary Genre numerical
A court of thorns and Roses -  Collectors edition,Sarah J Maas,2019,9781547604173,Bloomsbury,Bloomsbury Ya,Hardback,Fantasy,"Fantasy, romance",Fiction,ACOTAR,1,29.99,433,,1,1,1,,Maas,7
The Assassins blade,Sarah J Maas,2014,9781408851982,Bloomsbury,Bloomsbury Ya,Paperback,Fantasy,"Fantasy, romance",Fiction,Throne of Glass,0,8.99,434,,1,1,1,,Maas,7
House of Earth and Blood,Sarah J Maas,2021,9781526622884,Bloomsbury,,Paperback,Fantasy,"Fantasy, romance",Fiction,Crescent City,1,9.99,797,,1,1,1,,Maas,7
House of Sky and Breath,Sarah J Maas,2022,9781408884423,Bloomsbury,,Hardback,Fantasy,"Fantasy, romance",Fiction,Crescent City,2,16.99,798,,1,1,1,,Maas,7
My own worst enemy,Lily Lindon,2023,9781801107617,Bloomsbury,Head Of Zeus,Proof,Romance,"contempary romance, lgbtq",Fiction,,,,386,,0,0,1,,Lindon,3
Think big,Dr Grace Lordan,2021,9780241420164,Penguin Random House,Penguin Life,Paperback,Careers,"Careers guidance, education, psycology",Non-Fiction,,,14.99,325,,0,0,1,,Lordan,22
You are not alone,Cariad Lloyd,2023,9781526621832,Bloomsbury,,Proof,Sociology,"Death, sociology, anthropology",Non-Fiction,,,,269,,0,0,1,,Lloyd,15
The masters tools will never dismantle the masters house,Audre Lorde,2017,9780241339725,Penguin Random House,Penguin Classics,Paperback,Feminist Theory,"literary essays, social discrimation, inequality",Non-Fiction,,,2.0,51,,0,0,1,,Lorde,18
No one is talking about this,Patricia Lockwood,2021,9781526629760,Bloomsbury,Bloomsbury Circus,Hardback,Modern & Contemporary Fiction,modern & contempary fiction,Fiction,,,14.99,210,,1,0,1,,Lockwood,0
I may be wrong,Bjorn Natthiko Lindeblad,2022,9781526644824,Bloomsbury,,Hardback,Memoirs,"Memiors, religion, budism",Non-Fiction,,,16.99,237,,1,0,1,,Lindeblad,19
The phantom of the opera,Gaston Leroux,1995,9780140621747,Penguin Books,,Paperback,Classic Fiction,classic fiction,Fiction,,,,270,,0,0,1,,Leroux,4
Stolen ,Ann-Helen Laestadius,2023,9781526659989,Bloomsbury,Bloomsbury Circus,Proof,Modern & Contemporary Fiction,"modern and contempary fiction, ethnic studies",Fiction,,,,381,,0,0,1,,Laestadius,0
Catfish Rolling,Clara Kumagai,2023,9781803288048,Bloomsbury,Head Of Zeus,Proof,Young Adult,"fantasy, ya",Fiction,,,,369,,0,0,2,,Kumagai,9
A universe from nothing,Lawerence M Krauss,2012,9781471112683,Simon & Schuster,,Paperback,Popular Science,"popular science, cosmology, universe",Non-Fiction,,,8.99,201,,0,0,1,,Krauss,13
Nettle and bone,T Kingfisher (Ursula Vernon),2022,9781789098273,Titan Books,,Proof,Fantasy,Fantasy,Fiction,,,,325,,0,0,1,,Vernon),7
Grown Ups ,Marian Keyes,2020,9780718179748,Penguin Random House,Michael Joseph,Hardback,Modern & Contemporary Fiction,"modern and contempary fiction, humour",Fiction,,,20.0,636,,0,0,1,,Keyes,0
A Feast For Crows,George R R Martin,2011,9780007447862,Harper Collins,Harper Voyager,Paperback,Fantasy,Fantasy,Fiction,A Song of Ice and Fire,4,9.99,852,,0,0,2,,Martin,7
A Storm of Sword 2: Blood and Gold,George R R Martin,2011,9780007447855,Harper Collins,Harper Voyager,Paperback,Fantasy,Fantasy,Fiction,A Song of Ice and Fire,3.2,9.99,607,,0,0,2,,Martin,7
A Dance With Dragons 2: After the Feast,George R R Martin,2012,9780007466078,Harper Collins,Harper Voyager,Paperback,Fantasy,Fantasy,Fiction,A Song of Ice and Fire,5.2,9.99,560,,0,0,2,,Martin,7
A Storm of Swords 1: Steel and Snow,George R R Martin,2011,9780007447848,Harper Collins,Harper Voyager,Paperback,Fantasy,Fantasy,Fiction,A Song of Ice and Fire,3.1,9.99,623,,0,0,2,,Martin,7
A Knight of the Seven Kingdoms,George R R Martin,2015,9780007507672,Harper Collins,Harper Voyager,Hardback,Fantasy,Fantasy,Fiction,,,20.0,355,,0,0,1,,Martin,7
Hokey Pokey,Kate Mascarenhas,2023,9781789543858,Bloomsbury,Head Of Zeus,Proof,Crime & Mystery,"Crime, Thriller, Mystery",Fiction,,,,324,,0,0,1,,Mascarenhas,2
Reprieve,James Han Mattson,2021,9781526635563,Bloomsbury,,Proof,Crime & Mystery,Horror and ghost stories,Fiction,,,,406,,1,0,1,,Mattson,2
Little Nothings,Julie Mayhew,2022,9781526606341,Bloomsbury,Raven Books,Hardback,Crime & Mystery,"Crime & Mystery, Contemporary Fiction",Fiction,,,14.99,261,,0,0,2,,Mayhew,2
The Song of Achilles,Madeline Miller,2017,9781408891384,Bloomsbury,Bloomsbury Paperbacks,Paperback,Myths & Legends,"Myths & Legends, Contemporary Historical Fiction",Fiction,,,9.99,352,,1,1,1,,Miller,12
Galatea,Madeline Miller,2022,9781526652065,Bloomsbury,,Hardback,Myths & Legends,"Myths & Legends, Contemporary Historical Fiction",Fiction,,,6.99,56,,1,1,1,,Miller,12
Circe,Madeline Miller,2019,9781408890042,Bloomsbury,,Paperback,Myths & Legends,"Myths & Legends, Contemporary Historical Fiction",Fiction,,,9.99,336,,1,1,1,,Miller,12
It's Not Me It's You,Mhairi Mcfarlane,2015,9780007524983,Harper Collins,Harper,Paperback,Romance,Contemporary Romance,Fiction,,,7.99,531,,0,0,1,,Mcfarlane,3
The Medusa Project: Hunted,Sophie Mckenzie,2011,9781847385284,Simon & Schuster,,Paperback,Children's & Teenage,Childrens & Teenage General Fiction,Fiction,The Medusa Project,4,6.99,261,,0,0,1,,Mckenzie,10
Northern Lights,Philip Pullman,1998,9780590660549,Scholastic Childrens Books,Scholastic Ltd,Paperback,Children's & Teenage,"Childrens & Teenage, Fantasy, Adventure",Fiction,His Dark Materials,1,6.99,399,,1,0,2,,Pullman,10
Northern Lights,Philip Pullman,2019,9781407186108,Scholastic Childrens Books,Scholastic Ltd,Paperback,Children's & Teenage,"Childrens & Teenage, Fantasy, Adventure",Fiction,His Dark Materials,1,8.99,397,,1,0,1,,Pullman,10
The Whispering Muse,Laura Purcell,2023,9781526627186,Bloomsbury,Raven Books,Proof,Historical Fiction,"Historical Fiction, Crime & Mystery",Fiction,,,,293,,0,0,1,,Purcell,11
Asking for a Friend,Andi Osho,2021,9780008245795,Harper Collins,Hq,Paperback,Romance,Contemporary Romance,Fiction,,,8.99,373,,0,0,1,,Osho,3
The Thursday Murder Club,Richard Osman,2020,9780241425442,Penguin Random House,Viking,Hardback,Crime & Mystery,"Crime & Mystery, Cosy Crime",Fiction,Thursday Murder Club,1,14.99,380,,0,0,1,,Osman,2
The Ghost Theatre,Mat Osman,2023,9781526654403,Bloomsbury,,Proof,Historical Fiction,Historical Fiction,Fiction,,,,307,,0,0,2,,Osman,11
Falling Awake,Alice Oswald,2016,9781910702437,Penguin Random House,Jonathan Cape,Paperback With Flaps,Poetry,Poetry,Fiction,,,10.0,81,,0,0,1,,Oswald,6
Humble Pi,Matt Parker,2020,9780141989143,Penguin Random House,Penguin Books,Paperback,Popular Science,"Popular Mathematics, General Humour",Non-Fiction,,,9.99,313,,0,0,1,,Parker,13
I'm a Fan,Sheena Patel,2022,9781914236150,Rough Trade Books,,Hardback,Modern & Contemporary Fiction,Modern and contemporary fiction,Fiction,,,16.99,208,,0,0,1,,Patel,0
Remarkably Bright Creatures,Shelby Van Pelt,2022,9781526649669,Bloomsbury,,Trade Paperback,Modern & Contemporary Fiction,Modern and contemporary fiction,Fiction,,,13.99,359,,1,0,1,,Pelt,0
"Detransition, Baby",Torrey Peters,2020,9781788167208,Profile Books,Serpents Tail,Hardback,Modern & Contemporary Fiction,"Modern and contemporary fiction, lgbtq",Fiction,,,14.99,340,,0,0,1,,Peters,0
12 Rules for Life,Jordan B Peterson,2019,9780141988511,Penguin Random House,Penguin Books,Paperback,Philosophy,"Self help & Personal development, popular philosophy",Non-Fiction,,,10.99,409,,0,0,1,,Peterson,16
The Bell Jar,Sylvia Plath,1966,9780571081783,Faber & Faber,,Paperback,Modern & Contemporary Fiction,Modern & contemporary fiction,Fiction,,,6.99,234,,0,0,1,,Plath,0
An Inspector Calls,J B Priestley,1993,9780435232825,Pearson Education Limited,Heinemann,Hardback,Classic Fiction,"Play, English Literature",Fiction,,,9.99,79,,1,1,1,,Priestley,4
Lost in Time,A G Riddle,2022,9781804541760,Bloomsbury,Head Of Zeus,Hardback,Science Fiction,"Science Fiction, Thriller",Fiction,,,16.99,451,,0,0,1,,Riddle,8
Hotel 21,Senta Rich,2023,9781526650498,Bloomsbury,,Proof,Modern & Contemporary Fiction,Modern & contemporary fiction,Fiction,,,,278,,0,0,1,,Rich,0
Thunderhead,Douglas Preston & Lincoln Child,1999,9780446523370,Warner Books,,Hardback,Science Fiction,Science Fiction,Fiction,,,18.99,483,,0,0,1,,Child,8
The Bedlam Stacks,Natasha Pulley,2018,9781408878477,Bloomsbury,,Paperback,Historical Fiction,Historical Fiction,Fiction,,,8.99,337,,0,0,1,,Pulley,11
Our Final Century,Martin Rees,2004,9780099436867,Penguin Random House,Arrow Books,Paperback,Sociology,"Social Issues, Social Impact of Disasters",Non-Fiction,,,7.99,228,,0,0,1,,Rees,15
Good Relations,Janet Reibstein,2023,9781472992383,Bloomsbury,Green Tree,Proof,Sociology,"Popular Psychology, Family and relationships",Non-Fiction,,,,257,,0,0,1,,Reibstein,15
Such a Fun Age,Kiley Reid,2020,9781526612144,Bloomsbury,Bloomsbury Circus,Hardback,Modern & Contemporary Fiction,Modern & contemporary fiction,Fiction,,,12.99,310,,1,0,1,,Reid,0
How Should One Read a Book?,Virginia Woolf,2020,9781786277527,Hachette,Laurence King,Hardback,Literary Essays,Literary Essays,Non-Fiction,,,7.99,63,,0,0,1,,Woolf,5
Genius and Ink,Virginia Woolf,2020,9780008361884,Harper Collins,Tls Books,Paperback,Literary Essays,Literary Essays,Non-Fiction,,,8.99,240,,0,0,1,,Woolf,5
Today a Woman Went Mad in the Supermarket,Hilma Wolitzer,2021,9781635577624,Bloomsbury,,Proof,Short Stories,Short stories,Fiction,,,,179,,0,0,1,,Wolitzer,1
The Salt Path,Raynor Winn,2019,9781405937184,Penguin Random House,Penguin Books,Paperback,Memoirs,"Memoir, Housing and Homelessness",Non-Fiction,,,9.99,274,,0,0,1,,Winn,19
101 Essays That Will Change the Way You Think,Brianna Wiest,2017,9781945796067,Thought Catalog Books,,Paperback,Philosophy,"Self help & Personal development, popular philosophy",Non-Fiction,,,9.99,441,,0,0,1,,Wiest,16
Blood to Poison,Mary Watson,2022,9781526619174,Bloomsbury,Bloomsbury Ya,Paperback,Children's & Teenage,"Childrens & Teenage, Fantasy, Romance, Family Issues",Fiction,,,7.99,383,,0,0,1,,Watson,10
Untamed Shore,Silvia Moreno-Garcia,2023,9781529426328,Hachette,Quercus,Hardback,Crime & Mystery,"Crime & Mystery, Thriller, Historical Fiction",Fiction,,,16.99,282,,0,0,1,,Moreno-Garcia,2
12 Hours to Say I Love You,Olivia Poulet And Laurence Dobiesz,2022,9781472292599,Hachette,Headline,Proof,Romance,Contemporary Romance,Fiction,,,,485,,0,0,1,,Dobiesz,3
The Darkening,Sunya Mara,2022,9781399709378,Hachette,Hodder And Stoughton,Proof,Young Adult,Young Adult Fantasy,Fiction,The Darkening,1,,392,,0,0,1,,Mara,9
Snowdonia ,Mark Reeves,2020,9781873341636,Rockfax,,Flexiback,Travel & Holiday Guides,"Travel & Maps, Walking, Hiking & Trekking",Non-Fiction,,,24.95,288,,0,0,1,,Reeves,21
House of Odysseus,Claire North,2023,9780356521787,Hachette,"Little, Brown",Proof,Myths & Legends,"Myths & Legend, Historical Fiction",Fiction,The Songs of Penelope,2,,420,,0,0,1,,North,12
Rule of Wolves,Leigh Bardugo,2022,9781510104495,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy,Fiction,King of Scars,2,8.99,590,,0,0,1,,Bardugo,9
King of Scars,Leigh Bardugo,2020,9781510104464,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy,Fiction,King of Scars,1,8.99,514,,0,0,1,,Bardugo,9
Why I'm No Longer Talking To White People About Race,Reni Eddo-Lodge,2017,9781408870556,Bloomsbury,Bloomsbury Circus,Hardback,Sociology,"Society & Culture, Politics & Government",Non-Fiction,,,18.99,249,,0,0,1,,Eddo-Lodge,15
The Devil and the Dark Water,Stuart Turton,2020,9781408889640,Bloomsbury,Raven Books,Hardback,Crime & Mystery,"Crime & Mystery, Historical Thriller",Fiction,,,16.99,555,,0,0,1,,Turton,2
The Housekeepers,Alex Hay,2023,9781035406647,Hachette,Headline,Proof,Historical Fiction,Historical Fiction,Fiction,,,,399,,1,0,2,,Hay,11
Lost on Me,Veronica Raimo,2023,9780349017815,Hachette,"Little, Brown",Proof,Modern & Contemporary Fiction,Fiction in translation,Fiction,,,,209,,0,0,1,,Raimo,0
I'm Sorry You Feel That Way,Rebecca Wait,2022,9781529420449,Hachette,Quercus,Hardback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Illness",Fiction,,,16.99,390,,0,0,1,,Wait,0
The Storm We Made,Vanessa Chan,2024,9781399712576,Hachette,Hodder And Stoughton,Proof,Modern & Contemporary Fiction,"Modern And Contemporary Fiction, War & Combat, Family & Relationships",Fiction,,,,247,,0,0,1,,Chan,0
Crook Manifesto,Colson Whitehead,2023,9780349727646,Hachette,"Little, Brown",Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,Harlem Shuffle,2,,319,,0,0,1,,Whitehead,0
Atalanta,Jennifer Saint,2023,9781035402717,Hachette,Headline,Proof,Myths & Legends,"Myths & Legends, Contemporary Historical Fiction",Fiction,,,,357,,1,0,1,,Saint,12
Many Things Under a Rock,David Scheel,2023,9781399723114,Hachette,Hodder And Stoughton,Proof,Popular Science,"Popular Science, Wildlife, Biology",Non-Fiction,,,,296,,0,0,1,,Scheel,13
Isaac and the Egg,Bobby Palmer,2022,9781472285508,Hachette,Headline,Hardback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,14.99,277,,1,0,1,,Palmer,0
Shanghai Immortal ,A Y Chao,2023,9781399723619,Hachette,Hodder And Stoughton,Proof,Fantasy,"Fantasy, Adventure",Fiction,,,,345,,0,0,1,,Chao,7
Love is a Revolution,Renee Watson,2021,9781526616821,Bloomsbury,Bloomsbury Ya,Paperback,Children's & Teenage,"Childrens & Teenage, Romance",Fiction,,,7.99,289,,0,0,1,,Watson,10
One by One,Ruth Ware,2021,9781784708085,Penguin Random House,Vintage,Paperback,Crime & Mystery,"Crime & Mystery, Thriller ",Fiction,,,7.99,376,,0,0,1,,Ware,2
On Earth We're Briefly Gorgeous,Ocean Vuong,2019,9781529110685,Penguin Random House,Vintage,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,8.99,242,,1,0,1,,Vuong,0
A Day of Fallen Night,Samantha Shannon,2023,9781526619792,Bloomsbury,,Hardback,Fantasy,Fantasy,Fiction,Roots of Chaos,2,18.99,868,,0,0,2,,Shannon,7
Metronome,Tom Watson,2022,9781526639547,Bloomsbury,,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,,307,,1,1,1,,Watson,0
Ariadne,Jennifer Saint,2021,9781472280893,Hachette,Headline,Proof,Myths & Legends,"Myths & Legends, Historical Fiction",Fiction,,,,389,,0,0,1,,Saint,12
Meet Me at the Lake,Carley Fortune,2023,9780349433110,Hachette,"Little, Brown",Paperback,Romance,Contemporary Romance,Fiction,,,9.99,320,,1,0,1,,Fortune,3
The Way of Kings,Brandon Sanderson,2015,9781473211513,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Stormlight Archive,1,14.99,1124,,0,0,1,,Sanderson,7
Things We Never Got Over,Lucy Score,2022,9781399713740,Hachette,Hodder And Stoughton,Paperback,Romance,Contemporary Romance,Fiction,Knockemout ,1,8.99,490,,1,0,1,,Score,3
What If?,Randall Munroe,2015,9781848549562,Hachette,John Murray,Paperback,Popular Science,Popular Science,Non-Fiction,What If,1,8.99,304,,0,0,1,,Munroe,13
1984,George Orwell,2019,9789352230761,Maple Press,,Paperback,Classic Fiction,classic fiction,Fiction,,,,238,,1,1,1,,Orwell,4
Somewhere in the Crowd,Katrina Logan,2023,9781399718905,Hachette,Hodder And Stoughton,Paperback,Romance,"Contemporary Romance, Music",Fiction,,,9.99,291,,0,0,1,,Logan,3
Memphis,Tara M Stringfellow,2023,9781529339253,Hachette,John Murray,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,9.99,252,,0,0,1,,Stringfellow,0
A Witch's Guide to Fake Dating a Demon,Sarah Hawley,2023,9781399608893,Hachette,Orion,Paperback,Fantasy,Fantasy Romance ,Fiction,,,8.99,389,,0,0,1,,Hawley,7
Words of Radiance Part 2,Brandon Sanderson,2015,9780575093324,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Stormlight Archive,2.2,10.99,564,,0,0,1,,Sanderson,7
Words of Radiance Part 1,Brandon Sanderson,2015,9780575093317,Hachette,Orion,Paperback,Fantasy,Fantasy,Fiction,The Stormlight Archive,2.1,10.99,653,,0,0,1,,Sanderson,7
Death of a Bookseller,Alice Slater,2023,9781399709392,Hachette,Hodder And Stoughton,Proof,Crime & Mystery,"Crime & Mystery, Thriller",Fiction,,,,374,,0,0,1,,Slater,2
The Beasts of Paris,Steff Penney,2023,9781529428780,Hachette,Quercus,Proof,Historical Fiction,Historical Fiction,Fiction,,,,483,,0,0,1,,Penney,11
She is a Haunting,Trang Thanh Tran,2023,9781547610815,Bloomsbury,Bloomsbury Ya,Proof,Young Adult,"Childrens & Teenage, Horror & Ghost Stories",Fiction,,,,336,,0,0,1,,Tran,9
The Lies We Tell,Katie Zhao,2022,9781526654854,Bloomsbury,Bloomsbury Ya,Paperback,Young Adult,"Childrens & Teenage, Thrillers",Fiction,,,7.99,287,,1,0,1,,Zhao,9
How Much of These Hills is Gold,C Pam Zhang,2021,9780349011455,Hachette,"Little, Brown",Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,8.99,322,,0,0,1,,Zhang,0
A Little Life,Hanya Yanagihara,2016,9781447294832,Pan Macmillan,Picador,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,9.99,720,,1,0,1,,Yanagihara,0
Brilliant Maps,Ian Wright,2021,9781846276637,Granta Books,,Flexiback,History,"Historical Geography, Maps",Non-Fiction,,,12.99,210,,0,0,1,,Wright,17
Essential Medical Statistics,Betty R Kirkwood And Jonathan A C Sterne,2005,9780865428713,Blackwell Science Ltd,,Paperback,Academic,Applied Mathematics,Non-Fiction,,,45.95,501,,0,0,1,,Sterne,14
Data Interpretation for Medical Students,Paul Hamilton And Ian Bickle,2012,9781905635771,Pastest Ltd,,Paperback,Academic,"Medicine, Medical Study and Diagnosis",Non-Fiction,,,27.99,608,,0,0,1,,Bickle,14
How We Fall Apart,Katie Zhao,2021,9781526652041,Bloomsbury,Bloomsbury Ya,Paperback,Young Adult,"Childrens & Teenage, Thrillers",Fiction,,,7.99,298,,1,0,1,,Zhao,9
The Rachel Incident,Caroline O'Donoghue,2023,9780349017754,Hachette,"Little, Brown",Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,,304,,0,0,1,,O'Donoghue,0
Things We Hide From the Light,Lucy Score,2023,9781399722162,Hachette,Hodder And Stoughton,Proof,Romance,Contemporary Romance,Fiction,Knockemout ,2,,574,,0,0,1,,Score,3
Maame,Jessica George,2023,9781399715638,Hachette,Hodder And Stoughton,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Family & Relationships",Fiction,,,,391,,0,0,1,,George,0
Perilous Times,Thomas D Lee,2023,9780356520902,Hachette,"Little, Brown",Proof,Fantasy,Fantasy,Fiction,,,,534,,0,0,1,,Lee,7
Some Desperate Glory,Emily Tesh,2023,9780356519722,Hachette,"Little, Brown",Proof,Science Fiction,"Science Fiction, Space Opera",Fiction,,,,438,,0,0,1,,Tesh,8
The Invisible Life of Addie LaRue,V E Schwab,2022,9781803364186,Titan Books,,Hardback,Fantasy,Fantasy,Fiction,,,18.99,545,,1,0,1,,Schwab,7
Ada's Realm,Sharon Dodua Otoo,2023,9781529419016,Hachette,Quercus,Hardback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Fiction in Translation",Fiction,,,16.99,303,,0,0,1,,Otoo,0
Nora Goes Off Script,Annabel Monaghan,2023,9781399703024,Hachette,Hodder And Stoughton,Paperback,Romance,Contemporary Romance,Fiction,,,9.99,260,,0,0,1,,Monaghan,3
Six of Crows,Leigh Bardugo,2016,9781780622286,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy,Fiction,Six of Crows,1,8.99,494,,1,1,1,,Bardugo,9
The Love Hypothesis,Ali Hazelwood,2021,9781408725764,Hachette,"Little, Brown",Paperback,Romance,Contemporary Romance,Fiction,,,8.99,393,,0,0,1,,Hazelwood,3
Elektra,Jennifer Saint,2023,9781472273956,Hachette,Headline,Paperback,Myths & Legends,"Myths & Legends, Historical Fiction",Fiction,,,8.99,356,,0,0,1,,Saint,12
Destroy Me,Tahereh Mafi,2022,9780063309401,Harper Collins,Harper,Paperback,Young Adult,Young Adult Fantasy Romance,Fiction,Shatter Me,1.5,,98,,0,0,1,,Mafi,9
"Love, Theoretically",Ali Hazelwood,2023,9781408729021,Hachette,"Little, Brown",Proof,Romance,Contemporary Romance,Fiction,,,,389,,0,0,1,,Hazelwood,3
Anatomy,Dana Schwartz,2022,9780349433370,Hachette,"Little, Brown",Paperback,Young Adult,"Young Adult Historical, Fantasy",Fiction,,,8.99,333,,0,0,1,,Schwartz,9
The Seven Deaths of Evelyn Hardcastle,Stuart Turton,2018,9781408889510,Bloomsbury,Raven Books,Paperback,Crime & Mystery,"Crime & Mystery, Historical Thriller",Fiction,,,8.99,507,,0,0,1,,Turton,2
Maror,Lavie Tidhar,2022,9781838931360,Bloomsbury,Head Of Zeus,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,,554,,0,0,2,,Tidhar,0
Girl on Fire,Sara Flannery Murphy,2022,9781526637475,Bloomsbury,Raven Books,Paperback,Crime & Mystery,Crime & Mystery,Fiction,,,8.99,356,,0,0,1,,Murphy,2
"Good Girl, Bad Blood",Holly Jackson,2020,9781405297752,Harper Collins,Electric Monkey,Paperback,Young Adult,"Childrens & Teenage, Crime & Mystery",Fiction,A Good Girl's Guide to Murder,2,7.99,415,,0,0,1,,Jackson,9
As Good as Dead,Holly Jackson,2021,9780008509217,Harper Collins,Electric Monkey,Paperback,Young Adult,"Childrens & Teenage, Crime & Mystery",Fiction,A Good Girl's Guide to Murder,3,8.99,565,,0,0,1,,Jackson,9
This is How You Lose the Time War,Max Gladstone,2019,9781529405231,Hachette,Quercus,Paperback With Flaps,Science Fiction,Science Fiction,Fiction,,,10.99,198,,1,0,1,,Gladstone,8
Same Time Next Summer,Annabel Monaghan,2023,9781399718028,Hachette,Hodder And Stoughton,Paperback,Romance,Contemporary Romance,Fiction,,,9.99,285,,0,0,1,,Monaghan,3
The No-Show,Beth O'Leary,2023,9781529409147,Hachette,Quercus,Paperback,Romance,Contemporary Romance,Fiction,,,8.99,392,,0,0,1,,O'Leary,3
The Wake-Up Call,Beth O'Leary,2023,9781529433296,Hachette,Quercus,Proof,Romance,Contemporary Romance,Fiction,,,,407,,1,0,1,,O'Leary,3
The Colour of Magic,Terry Pratchett,1983,9780552166591,Penguin Random House,Transworld,Paperback,Fantasy,Fantasy,Fiction,The Discworld Series,1,9.99,287,,0,0,1,,Pratchett,7
Glow,Raven Kennedy,2023,9781405955065,Penguin Random House,Penguin Books,Paperback,Fantasy,Fantasy Romance,Fiction,The Plated Prisoner,4,9.99,714,,1,0,1,,Kennedy,7
Gleam,Raven Kennedy,2022,9781405955027,Penguin Random House,Penguin Books,Paperback,Fantasy,Fantasy Romance,Fiction,The Plated Prisoner,3,9.99,663,,1,1,1,,Kennedy,7
Glint,Raven Kennedy,2022,9781405955041,Penguin Random House,Penguin Books,Paperback,Fantasy,Fantasy Romance,Fiction,The Plated Prisoner,2,9.99,462,,1,1,1,,Kennedy,7
Gild,Raven Kennedy,2022,9781405955003,Penguin Random House,Penguin Books,Paperback,Fantasy,Fantasy Romance,Fiction,The Plated Prisoner,1,9.99,386,,1,1,1,,Kennedy,7
Cult Classic,Sloane Crosley,2022,9781526636423,Bloomsbury,Bloomsbury Circus,Hardback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Romance",Fiction,,,16.99,282,,1,0,1,,Crosley,0
The Vanishing Half,Brit Bennett,2021,9780349701479,Hachette,"Little, Brown",Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,8.99,366,,0,0,1,,Bennett,0
Quidditch Through the Ages,J K Rowling,2020,9781526608123,Bloomsbury,Bloomsbury Childrens Books,Hardback,Children's & Teenage,"Childrens & Teenage, Fantasy",Fiction,Harry Potter,,25.0,160,,0,0,1,,Rowling,10
The Tales of Beedle the Bard,J K Rowling,2022,9781526637895,Bloomsbury,Bloomsbury Childrens Books,Flexiback,Children's & Teenage,"Childrens & Teenage, Fantasy",Fiction,Harry Potter,,14.99,160,,0,1,1,,Rowling,10
Fantastic Beasts and Where to Find Them,J K Rowling,2020,9781526620316,Bloomsbury,Bloomsbury Childrens Books,Flexiback,Children's & Teenage,"Childrens & Teenage, Fantasy",Fiction,Harry Potter,,14.99,160,,0,0,1,,Rowling,10
The Feynman Lectures on Physics Volume 2,"Feynman, Leighton, And Sands",1989,9780201510041,Addison-Wesley,,Hardback,Academic,Lectures on Physics,Non-Fiction,Fenyman Lectures on Physics,2,52.99,592,,0,0,1,,Sands,14
The Feynman Lectures on Physics Volume 1,"Feynman, Leighton, And Sands",1989,9780201510034,Addison-Wesley,,Hardback,Academic,Lectures on Physics,Non-Fiction,Fenyman Lectures on Physics,1,26.71,560,,0,0,1,,Sands,14
The Feynman Lectures on Physics Volume 3,"Feynman, Leighton, And Sands",1989,9780201510058,Addison-Wesley,,Hardback,Academic,Lectures on Physics,Non-Fiction,Fenyman Lectures on Physics,3,29.0,400,,0,0,1,,Sands,14
Prof Alan Turing Decoded,Dermot Turing,2015,9781841656779,The History Press,,Hardback,Academic,"Science & Technology biographies, Coding Theory and Cryptology",Non-Fiction,,,20.0,319,,0,0,1,,Turing,14
The GCHQ Puzzle Book II,Gchq,2018,9780241365434,Penguin Random House,Penguin Books,Paperback,Gifts,Puzzles & Quizzes,Non-Fiction,The GCHQ Puzzle Books,2,12.99,358,,0,0,1,,Gchq,20
"Fashion, Faith and Fantasy in the New Physics of the Universe",Roger Penrose,2016,9780691119793,Princeton University Press,,Hardback,Academic,"Academic, History of Science, Mathematics, Physics",Non-Fiction,,,15.99,501,,0,0,1,,Penrose,14
The Great Reclamation,Rachel Heng,2023,9781035406418,Hachette,Headline,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Historical Fiction",Fiction,,,,451,,0,0,1,,Heng,0
The Ferryman,Justin Cronin,2023,9781398718951,Hachette,Orion,Proof,Science Fiction,"Science Fiction, Thriller",Fiction,,,,546,,0,0,1,,Cronin,8
Building Machine Learning Powered Applications,Emmanuel Ameisen,2020,9781492045113,Oreilly Media,,Paperback,Academic,"Machine Learning, Artificial Intelligence",Non-Fiction,,,52.99,238,,0,0,1,,Ameisen,14
